pollutant;value;year
SO2;2782,3;1990
SO2;1639,1;1995
SO2;976,6;2000
SO2;983,6;2001
SO2;1023,9;2002
SO2;1034,2;2003
SO2;975,4;2004
SO2;1119,5;2005
SO2;1333;2006
SO2;1313,1;2007
SO2;1290,6;2008
SO2;1235,2;2009
SO2;1206,3;2010
SO2;1333,1;2011
SO2;1399,2;2012
SO2;1381,8;2013
SO2;1133,3;2014
SO2;830,3;2015
SO2;1076,4;2016
SO2;726,2;2017
SO2;698,1;2018
SO2;676;2019
SO2;601;2020
SO2;575,7;2021
NO2;760,8;1990
NO2;423,8;1995
NO2;320;2000
NO2;328,1;2001
NO2;309,4;2002
NO2;306;2003
NO2;291,7;2004
NO2;343,7;2005
NO2;325,8;2006
NO2;336,6;2007
NO2;330,9;2008
NO2;279,2;2009
NO2;310,5;2010
NO2;333;2011
NO2;332,5;2012
NO2;333,3;2013
NO2;288,1;2014
NO2;233,8;2015
NO2;240,2;2016
NO2;215,5;2017
NO2;215,3;2018
NO2;205,1;2019
NO2;181,3;2020
NO2;174;2021
NH3;23,1;1990
NH3;13,6;1995
NH3;8,3;2000
NH3;8,4;2001
NH3;8,1;2002
NH3;8,4;2003
NH3;14,6;2004
NH3;17,9;2005
NH3;19,4;2006
NH3;20,3;2007
NH3;19,8;2008
NH3;21,9;2009
NH3;25,1;2010
NH3;25,9;2011
NH3;24;2012
NH3;22,6;2013
NH3;21,3;2014
NH3;18,8;2015
NH3;18,8;2016
NH3;17,4;2017
NH3;16,8;2018
NH3;17,9;2019
NH3;17,6;2020
NH3;17,6;2021
CO;3273,7;1990
CO;1478,8;1995
CO;1230,6;2000
CO;1270,3;2001
CO;1256,8;2002
CO;1269,7;2003
CO;1318,8;2004
CO;1320,5;2005
CO;1357,9;2006
CO;1404,4;2007
CO;1185,2;2008
CO;915,5;2009
CO;1063,8;2010
CO;1066,1;2011
CO;1004,6;2012
CO;1007,2;2013
CO;828,4;2014
CO;764,1;2015
CO;802,8;2016
CO;728,4;2017
CO;744,3;2018
CO;748,4;2019
CO;707,3;2020
CO;704,3;2021
PM10;0;1990
PM10;0;1995
PM10;0;2000
PM10;0;2001
PM10;0;2002
PM10;0;2003
PM10;154,7;2004
PM10;175,7;2005
PM10;159,3;2006
PM10;153,3;2007
PM10;151,3;2008
PM10;122,9;2009
PM10;133,2;2010
PM10;142,3;2011
PM10;135,1;2012
PM10;125,7;2013
PM10;84,6;2014
PM10;67,9;2015
PM10;73,1;2016
PM10;46,8;2017
PM10;54,1;2018
PM10;65,7;2019
PM10;55,3;2020
PM10;69,8;2021
PM2,5;0;1990
PM2,5;0;1995
PM2,5;0;2000
PM2,5;0;2001
PM2,5;0;2002
PM2,5;0;2003
PM2,5;74,7;2004
PM2,5;70,2;2005
PM2,5;50,4;2006
PM2,5;49,3;2007
PM2,5;46,4;2008
PM2,5;37,7;2009
PM2,5;40,7;2010
PM2,5;42,3;2011
PM2,5;34,5;2012
PM2,5;27,1;2013
PM2,5;24;2014
PM2,5;19,7;2015
PM2,5;34,1;2016
