As;Cd;CO;Cr;Cu;Hg;NH3;Ni;NO2;Pb;PM10;PM2.5;SO2;Zn
1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2
1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7
10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3
13,5;13,5;13,5;13,5;13,5;13,5;13,5;13,5;13,5;13,5;13,5;13,5;13,5;13,5
13,6;13,6;13,6;13,6;13,6;13,6;13,6;13,6;13,6;13,6;13,6;13,6;13,6;13,6
1333.1;1333.1;1333.1;1333.1;1333.1;1333.1;1333.1;1333.1;1333.1;1333.1;1333.1;1333.1;1333.1;1333.1
135,1;135,1;135,1;135,1;135,1;135,1;135,1;135,1;135,1;135,1;135,1;135,1;135,1;135,1
135,8;135,8;135,8;135,8;135,8;135,8;135,8;135,8;135,8;135,8;135,8;135,8;135,8;135,8
1357,9;1357,9;1357,9;1357,9;1357,9;1357,9;1357,9;1357,9;1357,9;1357,9;1357,9;1357,9;1357,9;1357,9
1381.8;1381.8;1381.8;1381.8;1381.8;1381.8;1381.8;1381.8;1381.8;1381.8;1381.8;1381.8;1381.8;1381.8
1399.2;1399.2;1399.2;1399.2;1399.2;1399.2;1399.2;1399.2;1399.2;1399.2;1399.2;1399.2;1399.2;1399.2
14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5
14,6;14,6;14,6;14,6;14,6;14,6;14,6;14,6;14,6;14,6;14,6;14,6;14,6;14,6
14,7;14,7;14,7;14,7;14,7;14,7;14,7;14,7;14,7;14,7;14,7;14,7;14,7;14,7
1404,4;1404,4;1404,4;1404,4;1404,4;1404,4;1404,4;1404,4;1404,4;1404,4;1404,4;1404,4;1404,4;1404,4
